id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,keywords,score
26874,WMKK,large_airport,Kuala Lumpur International Airport,2.74558,101.709999,69,Selangor,MY-10,10,Sepang,1,WMKK,WMKK,KUL,KLIA,1017575
26878,WMKP,medium_airport,Penang International Airport,5.297140121,100.2770004,11,Penang,MY-07,7,Penang,1,WMKP,WMKP,PEN,,750
26814,WBKK,medium_airport,Kota Kinabalu International Airport,5.932743,116.049324,10,Sabah,MY-12,12,Kota Kinabalu,1,WBKK,WBKK,BKI,"Lapangan Terbang Antarabangsa Kota Kinabalu, Jesselton Airfield",750
26875,WMKL,medium_airport,Langkawi International Airport,6.329730034,99.72869873,29,Kedah,MY-02,2,Langkawi,1,WMKL,WMKL,LGK,,750
26808,WBGG,medium_airport,Kuching International Airport,1.487364,110.352859,89,Sarawak,MY-13,13,Kuching,1,WBGG,WBGG,KCH,,750
26879,WMSA,medium_airport,Sultan Abdul Aziz Shah International Airport,3.130579948,101.5490036,90,Selangor,MY-10,10,Subang,1,WMSA,WMSA,SZB,,750
26873,WMKJ,medium_airport,Senai International Airport,1.64131,103.669998,135,Johor,MY-01,1,Johor Bahru,1,WMKJ,WMKJ,JHB,Sultan Ismail Airport,750
26868,WMKC,medium_airport,Sultan Ismail Petra Airport,6.16685009,102.2929993,16,Kelantan,MY-03,3,Kota Baharu,1,WMKC,WMKC,KBR,,750
26811,WBGR,medium_airport,Miri Airport,4.32201,113.987,59,Sarawak,MY-13,13,Miri,1,WBGR,WBGR,MYY,,750
26818,WBMU,medium_airport,Mulu Airport,4.04832983,114.8050003,80,Sarawak,MY-13,13,Mulu,1,WBMU,WBMU,MZV,,750
26816,WBKS,medium_airport,Sandakan Airport,5.900899887,118.0589981,46,Sabah,MY-12,12,Sandakan,1,WBKS,WBKS,SDK,,750
26812,WBGS,medium_airport,Sibu Airport,2.2616,111.985001,122,Sarawak,MY-13,13,Sibu,1,WBGS,WBGS,SBW,,750
26869,WMKD,medium_airport,Kuantan Airport,3.77538991,103.2089996,58,Pahang,MY-06,6,Kuantan,1,WMKD,WMKD,KUA,,750
26817,WBKW,medium_airport,Tawau Airport,4.31338,118.12152,57,Sabah,MY-12,12,Tawau,1,WBKW,WBKW,TWU,,750
26866,WMKA,medium_airport,Sultan Abdul Halim Airport,6.189670086,100.3980026,15,Kedah,MY-02,2,Alor Satar,1,WMKA,WMKA,AOR,,750
26877,WMKN,medium_airport,Sultan Mahmud Airport,5.382639885,103.1029968,21,Terengganu,MY-11,11,Kuala Terengganu,1,WMKN,WMKN,TGG,,750
